parking_id,name,num_stops_400m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_conservative
370,"Location (35.0495, -85.2880)",8,2155,67,283,330,conservative,400,True,269.375,13.11,18.82,100,97.17,35.26,47.03,excellent,High Reliability,78
388,"Location (35.0171, -85.3234)",18,1338,22,68,186,conservative,400,True,74.33333333333333,29.51,11.68,100,99.32,11.58,46.94,excellent,High Reliability,79
136,"Location (35.0434, -85.2808)",14,1033,68,76,214,conservative,400,True,73.78571428571429,22.95,9.02,100,99.24,35.79,46.91,excellent,High Reliability,80
73,"Location (35.0339, -85.2680)",18,1378,19,62,313,conservative,400,True,76.55555555555556,29.51,12.03,100,99.38,10.0,46.89,excellent,High Reliability,81
458,"Location (35.0308, -85.2699)",18,1348,20,60,307,conservative,400,True,74.88888888888889,29.51,11.77,100,99.4,10.53,46.87,excellent,High Reliability,82
268,"Location (35.0417, -85.2999)",18,1320,20,73,252,conservative,400,True,73.33333333333333,29.51,11.53,100,99.27,10.53,46.78,excellent,High Reliability,83
207,"Location (35.0155, -85.3245)",17,1289,21,59,220,conservative,400,True,75.82352941176471,27.87,11.25,100,99.41,11.05,46.36,excellent,High Reliability,84
371,"Location (35.0433, -85.2963)",14,1750,18,71,269,conservative,400,True,125.0,22.95,15.28,100,99.29,9.47,46.16,excellent,High Reliability,85
369,"Location (35.0353, -85.3131)",17,1098,22,52,233,conservative,400,True,64.58823529411765,27.87,9.59,100,99.48,11.58,45.92,excellent,High Reliability,86
426,"Location (35.0651, -85.3101)",18,885,21,100,281,conservative,400,True,49.166666666666664,29.51,7.73,100,99.0,11.05,45.65,excellent,High Reliability,87
447,"Location (35.0628, -85.3062)",15,1236,23,55,195,conservative,400,True,82.4,24.59,10.79,100,99.45,12.11,45.51,excellent,High Reliability,88
326,"Location (35.0632, -85.3081)",15,1189,23,58,174,conservative,400,True,79.26666666666667,24.59,10.38,100,99.42,12.11,45.39,excellent,High Reliability,89
385,"Location (35.0453, -85.2959)",12,1824,15,71,249,conservative,400,True,152.0,19.67,15.93,100,99.29,7.89,45.38,excellent,High Reliability,90
355,"Location (35.0655, -85.3108)",18,809,20,130,284,conservative,400,True,44.94444444444444,29.51,7.06,100,98.7,10.53,45.35,excellent,High Reliability,91
446,"Location (35.0412, -85.2989)",17,946,18,41,242,conservative,400,True,55.64705882352941,27.87,8.26,100,99.59,9.47,45.33,excellent,High Reliability,92
119,"Location (35.0438, -85.2821)",12,923,60,133,258,conservative,400,True,76.91666666666667,19.67,8.06,100,98.67,31.58,45.29,excellent,High Reliability,93
60,"Location (35.0346, -85.2663)",15,1031,15,182,320,conservative,400,True,68.73333333333333,24.59,9.0,100,98.18,7.89,44.36,excellent,High Reliability,94
380,"Location (35.0619, -85.3081)",13,1116,21,73,157,conservative,400,True,85.84615384615384,21.31,9.74,100,99.27,11.05,44.25,excellent,High Reliability,95
171,"Location (35.0612, -85.3059)",13,1116,21,113,204,conservative,400,True,85.84615384615384,21.31,9.74,100,98.87,11.05,44.19,excellent,High Reliability,96
282,"Location (35.0090, -85.3241)",14,1047,14,102,276,conservative,400,True,74.78571428571429,22.95,9.14,100,98.98,7.37,44.06,excellent,High Reliability,97
357,"Location (35.0628, -85.3110)",14,869,18,78,276,conservative,400,True,62.07142857142857,22.95,7.59,100,99.22,9.47,43.84,excellent,High Reliability,98
