parking_id,name,num_stops_800m,total_daily_trips,total_routes,nearest_stop_distance_m,avg_walk_distance_m,scenario,buffer_distance_m,has_adequate_transit,trips_per_stop,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,accessibility_score,service_quality,reliability_class,rank_moderate
75,"Location (35.0366, -85.1597)",10,1138,10,74,603,moderate,800,True,113.8,6.29,4.73,100,99.26,2.09,38.09,excellent,High Reliability,198
362,"Location (35.0056, -85.2211)",12,1242,12,504,617,moderate,800,True,103.5,7.55,5.16,100,94.96,2.51,37.93,excellent,High Reliability,199
95,"Location (35.0369, -85.1581)",10,1138,10,216,547,moderate,800,True,113.8,6.29,4.73,100,97.84,2.09,37.88,excellent,High Reliability,200
12,"Location (35.0266, -85.1941)",10,1034,10,183,489,moderate,800,True,103.4,6.29,4.3,100,98.17,2.09,37.8,excellent,High Reliability,201
151,"Location (35.1293, -85.2475)",11,674,11,100,502,moderate,800,True,61.27272727272727,6.92,2.8,100,99.0,2.3,37.65,excellent,High Reliability,202
128,"Location (35.0543, -85.2811)",11,337,34,159,578,moderate,800,True,30.636363636363637,6.92,1.4,100,98.41,7.11,37.62,excellent,High Reliability,203
133,"Location (35.0580, -85.2772)",10,381,33,101,559,moderate,800,True,38.1,6.29,1.58,100,98.99,6.9,37.59,excellent,High Reliability,204
294,"Location (35.0499, -85.3206)",11,650,11,173,474,moderate,800,True,59.09090909090909,6.92,2.7,100,98.27,2.3,37.51,excellent,High Reliability,205
423,"Location (35.0323, -85.1858)",9,931,9,189,467,moderate,800,True,103.44444444444444,5.66,3.87,100,98.11,1.88,37.48,excellent,High Reliability,206
29,"Location (35.0365, -85.1552)",9,1035,9,292,500,moderate,800,True,115.0,5.66,4.3,100,97.08,1.88,37.46,excellent,High Reliability,207
300,"Location (35.0467, -85.1549)",10,1033,10,467,626,moderate,800,True,103.3,6.29,4.29,100,95.33,2.09,37.37,excellent,High Reliability,208
356,"Location (35.0318, -85.1846)",8,827,8,154,396,moderate,800,True,103.375,5.03,3.44,100,98.46,1.67,37.23,excellent,High Reliability,209
293,"Location (35.1237, -85.2408)",12,734,12,572,685,moderate,800,True,61.166666666666664,7.55,3.05,100,94.28,2.51,37.2,excellent,High Reliability,210
156,"Location (35.0327, -85.1841)",8,827,8,262,433,moderate,800,True,103.375,5.03,3.44,100,97.38,1.67,37.06,excellent,High Reliability,211
76,"Location (35.0475, -85.1568)",9,930,9,480,567,moderate,800,True,103.33333333333333,5.66,3.87,100,95.2,1.88,37.04,excellent,High Reliability,212
289,"Location (35.0289, -85.2417)",10,990,10,662,695,moderate,800,True,99.0,6.29,4.12,100,93.38,2.09,37.02,excellent,High Reliability,213
258,"Location (35.0114, -85.2393)",9,932,9,620,667,moderate,800,True,103.55555555555556,5.66,3.87,100,93.8,1.88,36.84,excellent,High Reliability,214
10,"Location (35.0348, -85.1568)",7,828,7,338,452,moderate,800,True,118.28571428571429,4.4,3.44,100,96.62,1.46,36.77,excellent,High Reliability,215
182,"Location (35.0730, -85.1843)",10,170,10,153,471,moderate,800,True,17.0,6.29,0.71,100,98.47,2.09,36.76,excellent,High Reliability,216
266,"Location (35.0807, -85.2638)",8,212,14,56,307,moderate,800,True,26.5,5.03,0.88,100,99.44,2.93,36.73,excellent,High Reliability,217
198,"Location (35.0546, -85.2827)",8,238,22,206,624,moderate,800,True,29.75,5.03,0.99,100,97.94,4.6,36.71,excellent,High Reliability,218
58,"Location (35.0353, -85.1609)",6,724,6,177,575,moderate,800,True,120.66666666666667,3.77,3.01,100,98.23,1.26,36.71,excellent,High Reliability,219
115,"Location (35.0331, -85.1567)",6,725,6,235,449,moderate,800,True,120.83333333333333,3.77,3.01,100,97.65,1.26,36.62,excellent,High Reliability,220
34,"Location (35.1296, -85.2415)",7,434,7,110,494,moderate,800,True,62.0,4.4,1.8,100,98.9,1.46,36.62,excellent,High Reliability,221
441,"Location (35.1225, -85.2404)",10,614,10,697,727,moderate,800,True,61.4,6.29,2.55,100,93.03,2.09,36.5,excellent,High Reliability,222
17,"Location (35.0321, -85.1578)",5,622,5,117,450,moderate,800,True,124.4,3.14,2.59,100,98.83,1.05,36.49,excellent,High Reliability,223
206,"Location (35.0782, -85.2666)",7,194,12,87,483,moderate,800,True,27.714285714285715,4.4,0.81,100,99.13,2.51,36.46,excellent,High Reliability,224
238,"Location (35.1338, -85.2408)",6,420,6,110,596,moderate,800,True,70.0,3.77,1.75,100,98.9,1.26,36.43,excellent,High Reliability,225
297,"Location (35.0565, -85.2797)",7,173,15,135,493,moderate,800,True,24.714285714285715,4.4,0.72,100,98.65,3.14,36.43,excellent,High Reliability,226
219,"Location (35.0754, -85.2644)",8,226,14,290,595,moderate,800,True,28.25,5.03,0.94,100,97.1,2.93,36.4,excellent,High Reliability,227
193,"Location (35.0717, -85.1848)",9,153,9,284,497,moderate,800,True,17.0,5.66,0.64,100,97.16,1.88,36.37,excellent,High Reliability,228
81,"Location (35.0743, -85.1868)",8,136,8,170,399,moderate,800,True,17.0,5.03,0.57,100,98.3,1.67,36.34,excellent,High Reliability,229
387,"Location (35.0470, -85.1537)",7,723,7,566,663,moderate,800,True,103.28571428571429,4.4,3.01,100,94.34,1.46,36.3,excellent,High Reliability,230
243,"Location (35.1330, -85.2406)",5,360,5,45,532,moderate,800,True,72.0,3.14,1.5,100,99.55,1.05,36.27,excellent,High Reliability,231
42,"Location (35.0338, -85.1606)",5,621,5,267,533,moderate,800,True,124.2,3.14,2.58,100,97.33,1.05,36.26,excellent,High Reliability,232
9,VWGoA,7,106,8,102,473,moderate,800,True,15.142857142857142,4.4,0.44,100,98.98,1.67,36.25,excellent,High Reliability,233
210,"Location (35.0323, -85.1595)",4,518,4,73,424,moderate,800,True,129.5,2.52,2.15,100,99.27,0.84,36.25,excellent,High Reliability,234
365,"Location (35.0652, -85.2739)",7,169,11,197,642,moderate,800,True,24.142857142857142,4.4,0.7,100,98.03,2.3,36.25,excellent,High Reliability,235
84,"Location (35.0810, -85.2970)",8,480,8,627,688,moderate,800,True,60.0,5.03,2.0,100,93.73,1.67,36.08,excellent,High Reliability,236
275,"Location (35.0545, -85.3196)",5,927,7,678,749,moderate,800,True,185.4,3.14,3.85,100,93.22,1.46,36.07,excellent,High Reliability,237
15,"Location (35.1343, -85.2443)",6,420,6,347,557,moderate,800,True,70.0,3.77,1.75,100,96.53,1.26,36.07,excellent,High Reliability,238
35,"Location (35.1314, -85.2414)",5,314,5,157,456,moderate,800,True,62.8,3.14,1.31,100,98.43,1.05,36.05,excellent,High Reliability,239
2,"Location (35.1132, -85.2471)",7,420,7,478,608,moderate,800,True,60.0,4.4,1.75,100,95.22,1.46,36.05,excellent,High Reliability,240
48,"Location (35.0574, -85.2803)",5,141,10,167,421,moderate,800,True,28.2,3.14,0.59,100,98.33,2.09,35.92,excellent,High Reliability,241
230,"Location (35.1320, -85.2399)",4,300,4,129,473,moderate,800,True,75.0,2.52,1.25,100,98.71,0.84,35.89,excellent,High Reliability,242
