name,Latitude,Longitude,capacity,type,parking_id,capacity_estimated,processing_date,data_source
"Location (35.0558, -85.1319)",35.05576636942207,-85.13188329981932,227,large surface lot,185,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0817, -85.0863)",35.081715321639,-85.0863019284407,226,surface lot,186,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1345, -85.2393)",35.13450729874971,-85.2393211015132,225,large surface lot,187,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1420, -85.2350)",35.1419582382187,-85.23497943110098,225,large surface lot,188,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0583, -85.1248)",35.058295270018355,-85.1248083375038,223,large surface lot,189,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0162, -85.3838)",35.01624450154412,-85.38377485907684,221,large surface lot,190,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0469, -85.2948)",35.0468975318479,-85.29479477792522,220,large surface lot,191,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0966, -85.2197)",35.09664638753202,-85.21969128124277,220,large surface lot,192,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0717, -85.1848)",35.07169904893625,-85.18475041780376,219,large surface lot,193,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1413, -85.2302)",35.141265974689674,-85.23016416173758,219,surface lot,194,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1310, -85.2387)",35.13097637316072,-85.23869559151011,218,large surface lot,195,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1336, -85.2397)",35.13358046752685,-85.2397147624837,218,large surface lot,196,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0457, -85.2877)",35.04566782976181,-85.28769521255467,218,large surface lot,197,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0546, -85.2827)",35.05457498345368,-85.28270032775222,218,large surface lot,198,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1305, -85.2177)",35.13053322194153,-85.21767948267075,216,large surface lot,199,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0080, -85.3917)",35.00795297573857,-85.39165319929782,215,surface lot,200,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0287, -85.2010)",35.0286943432842,-85.20098725190107,214,surface lot,201,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0730, -85.2366)",35.07302748321518,-85.2366119957733,214,large surface lot,202,False,2026-02-20T14:48:59.464672,OpenStreetMap
Rental Car Lot,35.03600909981148,-85.19658973527592,213,surface lot,203,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0126, -85.1632)",35.01263305417006,-85.16324179432138,212,large surface lot,204,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0463, -85.3041)",35.046306198507224,-85.30406860865128,210,surface lot,205,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0782, -85.2666)",35.07824420191312,-85.26664805330726,210,large surface lot,206,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0155, -85.3245)",35.01549395251836,-85.32452040300498,210,large surface lot,207,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0842, -85.0707)",35.08422163682067,-85.07070677126559,210,large surface lot,208,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0575, -85.1258)",35.0574890149512,-85.12575074069652,208,surface lot,209,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0323, -85.1595)",35.03231163455542,-85.15950847073317,207,surface lot,210,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0503, -85.3132)",35.050328256545455,-85.31323216436611,207,surface lot,211,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0624, -85.1295)",35.06237964301881,-85.12954275822868,207,large surface lot,212,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0624, -85.2982)",35.06239778563465,-85.29815699029517,207,surface lot,213,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0229, -85.2482)",35.02288259389532,-85.24824788779945,206,surface lot,214,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0695, -85.1516)",35.06945139342196,-85.15160327853677,206,large surface lot,215,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0953, -85.0624)",35.09525548225519,-85.06236330507947,205,large surface lot,216,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0152, -85.2208)",35.01516590773621,-85.2208134266304,204,large surface lot,217,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1003, -85.2398)",35.10025239125404,-85.23981626919696,203,surface lot,218,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0754, -85.2644)",35.07538453614321,-85.26439531676324,202,large surface lot,219,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0394, -85.2659)",35.03940662356948,-85.26586543155798,202,large surface lot,220,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1126, -85.3250)",35.112581610171844,-85.3250122566183,201,large surface lot,221,False,2026-02-20T14:48:59.464672,OpenStreetMap
32,35.05124061036732,-85.30034218003851,201,surface lot,222,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0448, -85.3341)",35.044752621261665,-85.33408929449497,199,large surface lot,223,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0470, -85.2966)",35.04702247834601,-85.29655230931345,198,surface lot,224,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0730, -85.1531)",35.07297996681752,-85.15314119725103,198,large surface lot,225,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0600, -85.3011)",35.0600343619497,-85.30113604889556,198,large surface lot,226,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (34.9871, -85.2876)",34.987111843554366,-85.28759937953065,197,large surface lot,227,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0604, -85.1544)",35.0603643458729,-85.15436063836545,197,large surface lot,228,False,2026-02-20T14:48:59.464672,OpenStreetMap
Oakwood Baptist Church Parking Lot,35.07692123552194,-85.20309875588411,197,surface lot,229,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1320, -85.2399)",35.13200395629949,-85.23993400367486,197,large surface lot,230,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0061, -85.2141)",35.00607907756181,-85.21409768093477,193,large surface lot,231,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0205, -85.2881)",35.02045248159633,-85.28805249575068,193,surface lot,232,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1246, -85.2368)",35.124635131398584,-85.23680593255123,192,large surface lot,233,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1073, -85.2372)",35.10729093983392,-85.23724249981053,191,large surface lot,234,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0107, -85.1644)",35.0107085245326,-85.16441748143093,191,large surface lot,235,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0401, -85.2587)",35.04013333301753,-85.25871789506198,191,large surface lot,236,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0488, -85.1461)",35.04883482824138,-85.14611443381857,191,large surface lot,237,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1338, -85.2408)",35.13375757476022,-85.24075780614908,190,large surface lot,238,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0361, -85.2689)",35.03610405113735,-85.26893499881493,190,large surface lot,239,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1240, -85.3062)",35.12400009538606,-85.30617026160455,189,large surface lot,240,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0564, -85.1259)",35.056376939273626,-85.12594357784755,189,surface lot,241,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0389, -85.3084)",35.03885240218252,-85.30836491584081,188,surface lot,242,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1330, -85.2406)",35.133025281656096,-85.24058407280651,188,large surface lot,243,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1181, -85.2505)",35.11805449450808,-85.25054389578636,185,surface lot,244,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.0194, -85.2396)",35.01944432048316,-85.23959659423616,183,surface lot,245,False,2026-02-20T14:48:59.464672,OpenStreetMap
"Location (35.1445, -85.2190)",35.14450834761939,-85.21902816790875,182,large surface lot,246,False,2026-02-20T14:48:59.464672,OpenStreetMap
